Feature,Importance
Proportion_Schools_With_Science_Labs,0.5097887
Previous_Year_Pass_Rate_Pct,0.34508592
Avg_Household_Income_USD,0.039846662
Setting_Nov,0.037654944
Youth_Population_Density,0.028364725
Number_of_Schools,0.016620658
Unemployment_Rate_Pct,0.005060257
Year,0.0049928133
Number_of_Students,0.0027984434
School_Infrastructure_Index,0.0026229173
ICT_Resource_Index,0.0015674038
Distance_to_Exam_Center_km,0.0011400896
Adult_Literacy_Rate_Pct,0.0011320051
Grade7_Pass_Rate_Pct,0.0010832846
Textbook_Availability_Index,0.00091596995
Pupil_Teacher_Ratio,0.00074487034
Poverty_Incidence_Pct,0.00058033416
Is_Urban,0.0
